STATE,COUNTY,FIPS,RPL_THEMES
Massachusetts,Barnstable County,25001,0.1279
Massachusetts,Berkshire County,25003,0.4235
Massachusetts,Bristol County,25005,0.6227
Massachusetts,Dukes County,25007,0.133
Massachusetts,Essex County,25009,0.6055
Massachusetts,Franklin County,25011,0.4375
Massachusetts,Hampden County,25013,0.8177
Massachusetts,Hampshire County,25015,0.2708
Massachusetts,Middlesex County,25017,0.2854
Massachusetts,Nantucket County,25019,0.1031
Massachusetts,Norfolk County,25021,0.2959
Massachusetts,Plymouth County,25023,0.3064
Massachusetts,Suffolk County,25025,0.7849
Massachusetts,Worcester County,25027,0.51
