FID,NAME,TELEPHONE,ADDRESS,ADDRESS2,CITY,STATE,ZIP,ZIPP4,COUNTY,FIPS,HSIPTHEMES,NAICSCODE,NAICSDESCR,ST_VENDOR,WEBSITE,SOURCE,GOVT_LEVEL,TOT_STAFF,SPEC_EQUIP,x2,y2
1,LEE COUNTY HEALTH DEPARTMENT,803-484-6612,810 BROWN STREET, ,BISHOPVILLE,SC,29010, ,LEE,45061,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; HEALTH SERVICES; PUBLIC HEALTH OFFICES, STATE AND LOCAL",923120,COMMUNITY HEALTH PROGRAMS ADMINISTRATION,NAVTEQ, ,TECHNIGRAPHICS,LOCAL,0, ,-8934283.2548,4059524.074
2,DISTRICT HEALTH DEPARTMENT 4,989-356-4507,100 WOODS CIRCLE, ,ALPENA,MI,49707,1494,ALPENA,26007,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; HEALTH SERVICES; PUBLIC HEALTH OFFICES, STATE AND LOCAL",923120,COMMUNITY HEALTH PROGRAMS ADMINISTRATION,TGS,WWW.DHD4.ORG,TECHNIGRAPHICS,LOCAL,0, ,-9289700.5624,5634758.0957
3,KERSHAW COUNTY HEALTH DEPARTMENT,803-425-6012,1116 CHURCH STREET, ,CAMDEN,SC,29020,3502,KERSHAW,45055,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; HEALTH SERVICES; PUBLIC HEALTH OFFICES, STATE AND LOCAL",923120,COMMUNITY HEALTH PROGRAMS ADMINISTRATION,NAVTEQ, ,TECHNIGRAPHICS,LOCAL,0, ,-8973343.6334,4062104.7272
4,FLORENCE HEALTH DEPARTMENT,843-661-4835,145 EAST CHEVES STREET, ,FLORENCE,SC,29506,2526,FLORENCE,45041,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; HEALTH SERVICES; PUBLIC HEALTH OFFICES, STATE AND LOCAL",923120,COMMUNITY HEALTH PROGRAMS ADMINISTRATION,NAVTEQ, ,TECHNIGRAPHICS,LOCAL,0, ,-8879313.2743,4055240.8754
5,NEWBERRY COUNTY HEALTH DEPARTMENT,803-321-2170,2111 WILSON ROAD, ,NEWBERRY,SC,29108,1603,NEWBERRY,45071,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; HEALTH SERVICES; PUBLIC HEALTH OFFICES, STATE AND LOCAL",923120,COMMUNITY HEALTH PROGRAMS ADMINISTRATION,NAVTEQ, ,TECHNIGRAPHICS,LOCAL,0, ,-9084826.9725,4068680.6208
6,RICHLAND COUNTY HEALTH DEPARTMENT,803-576-2980,2000 HAMPTON STREET, ,COLUMBIA,SC,29204,1002,RICHLAND,45079,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; HEALTH SERVICES; PUBLIC HEALTH OFFICES, STATE AND LOCAL",923120,COMMUNITY HEALTH PROGRAMS ADMINISTRATION,NAVTEQ,HTTP://WWW.RICHLANDONLINE.COM/DEPARTMENTS/HEALTH/INDEX.ASP,TECHNIGRAPHICS,LOCAL,0, ,-9019255.8298,4030000.3112
7,GUAM DEPARTMENT OF PUBLIC HEALTH,671-735-7144,123 CHALAN KARETA, ,MANGILAO,GU,96913,6304,GUAM,66010,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; HEALTH SERVICES; PUBLIC HEALTH OFFICES, STATE AND LOCAL",923120,HEALTH PROGRAM ADMINISTRATION,GU_GOV,HTTP://WWW.DPHSS.GUAM.GOV/,TECHNIGRAPHICS,STATE,0, ,16118615.5987,1510004.3437
8,DEPARTMENT OF PUBLIC HEALTH,670-234-8950,HIGHWAY 30,COMMONWEALTH HEALTH CENTER,SAIPAN,MP,96950, ,SAIPAN,69110,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; HEALTH SERVICES; PUBLIC HEALTH OFFICES, STATE AND LOCAL",923120,HEALTH PROGRAM ADMINISTRATION,MP_GOV,HTTP://WWW.DPHSAIPAN.COM/,TECHNIGRAPHICS,STATE,0, ,16221926.4481,1713515.8498
9,CUMBERLAND COUNTY HEALTH DEPARTMENT,910-433-3600,227 FOUNTAINHEAD LANE, ,FAYETTEVILLE,NC,28301,5417,CUMBERLAND,37051,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; HEALTH SERVICES; PUBLIC HEALTH OFFICES, STATE AND LOCAL",923120,COMMUNITY HEALTH PROGRAMS ADMINISTRATION,NAVTEQ,WWW.CO.CUMBERLAND.NC.US/HEALTH/INDEX.HTML,TECHNIGRAPHICS,LOCAL,0, ,-8781952.5778,4171170.0251
10,LORIS HEALTH DEPARTMENT,843-756-4027,3811 WALNUT STREET, ,LORIS,SC,29569,2333,HORRY,45051,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; HEALTH SERVICES; PUBLIC HEALTH OFFICES, STATE AND LOCAL",923120,COMMUNITY HEALTH PROGRAMS ADMINISTRATION,NAVTEQ,HTTP://WWW.SCDHEC.GOV/HEALTH/REGION6/LORISHD.HTM,TECHNIGRAPHICS,LOCAL,0, ,-8782310.2077,4036655.8229
11,BAYFIELD COUNTY HEALTH DEPARTMENT,715-373-6109,117 EAST FIFTH STREET, ,WASHBURN,WI,54891,4522,BAYFIELD,55007,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; HEALTH SERVICES; PUBLIC HEALTH OFFICES, STATE AND LOCAL",923120,COMMUNITY HEALTH PROGRAMS ADMINISTRATION,NAVTEQ,WWW.BAYFIELDCOUNTY.ORG/HEALTH-DEPARTMENT.ASP,WIDHS,LOCAL,0, ,-10118164.4043,5889515.1238
12,COLLETON COUNTY HEALTH DEPARTMENT,843-549-1516,219 SOUTH LEMACKS STREET, ,WALTERBORO,SC,29488,4371,COLLETON,45029,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; HEALTH SERVICES; PUBLIC HEALTH OFFICES, STATE AND LOCAL",923120,COMMUNITY HEALTH PROGRAMS ADMINISTRATION,NAVTEQ,HTTP://WWW.SCDHEC.GOV/HEALTH/REGION8/COLLETON.HTM,TECHNIGRAPHICS,LOCAL,0, ,-8978515.2516,3881778.6276
13,MANIILAQ HEALTH CENTER - PUBLIC HEALTH NURSING,907-442-7144,436 5TH AVENUE, ,KOTZEBUE,AK,99752, ,NORTHWEST ARCTIC,02188,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; HEALTH SERVICES; PUBLIC HEALTH OFFICES, STATE AND LOCAL",923120,COMMUNITY HEALTH PROGRAMS ADMINISTRATION,NAVTEQ, ,TECHNIGRAPHICS,LOCAL,0, ,-18099037.1246,10126492.2926
14,FAIRBANKS REGIONAL PUBLIC HEALTH CENTER,907-452-1776,1025 WEST BARNETTE STREET, ,FAIRBANKS,AK,99701,4539,FAIRBANKS NORTH STAR,02090,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; HEALTH SERVICES; PUBLIC HEALTH OFFICES, STATE AND LOCAL",923120,COMMUNITY HEALTH PROGRAMS ADMINISTRATION,NAVTEQ, ,TECHNIGRAPHICS,LOCAL,0, ,-16444870.1882,9565715.329
15,ASHLAND COUNTY HEALTH AND HUMAN SERVICES DEPARTMENT,715-682-7004,630 SANBORN AVENUE, ,ASHLAND,WI,54806,3537,ASHLAND,55003,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; HEALTH SERVICES; PUBLIC HEALTH OFFICES, STATE AND LOCAL",923120,COMMUNITY HEALTH PROGRAMS ADMINISTRATION,NAVTEQ,WWW.CO.ASHLAND.WI.US/DEPARTMENTS/HEALTH-AND-HUMAN-SERVICES,WIDHS,LOCAL,0, ,-10119585.8636,5873116.1452
16,BLADEN COUNTY HEALTH DEPARTMENT,910-862-6900,300 MERCER MILL ROAD, ,ELIZABETHTOWN,NC,28337, ,BLADEN,37017,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; HEALTH SERVICES; PUBLIC HEALTH OFFICES, STATE AND LOCAL",923120,COMMUNITY HEALTH PROGRAMS ADMINISTRATION,NAVTEQ,WWW.BLADENINFO.ORG/DEPARTMENTS/HEALTH,TECHNIGRAPHICS,LOCAL,0, ,-8750332.2429,4112435.1636
17,REGION 8 PUBLIC HEALTH OFFICE HEADQUARTERS,843-525-7603,1235 LADYS ISLAND DRIVE, ,PORT ROYAL,SC,29935,1106,BEAUFORT,45013,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; HEALTH SERVICES; PUBLIC HEALTH OFFICES, STATE AND LOCAL",923120,HEALTH PROGRAM ADMINISTRATION,NAVTEQ,HTTP://WWW.SCDHEC.GOV/HEALTH/REGION8/REGIONAL.HTM,TECHNIGRAPHICS,STATE,0, ,-8981526.5418,3815070.0428
