OBJECTID,Name,Address,City,State,Zip,Status,x,y
54234,WALGREENS #7230,495 E Holt Ave,POMONA,CA,917675539,open,-13107011.544995,4037267.61778564
54244,VENTURA CENTRAL PHARMACY INC,16661 VENTURA BLVD STE111,ENCINO,CA,91436,open,-13190964.4748106,4050087.5265817
54245,WALGREENS #7263,8900 WASHINGTON BLVD,PICO RIVERA,CA,906603765,open,-13146603.9916879,4026524.67128727
54256,SAMS PHARMACY 10-4767,39940 10th St W,PALMDALE,CA,935513002,open,-13151878.0865228,4110763.47113951
54259,WALGREENS #6972,150 S GRAND AVE,COVINA,CA,917243236,open,-13121455.9168423,4040244.95847647
54261,WALGREENS #7403,15740 WOODRUFF AVE,BELLFLOWER,CA,907064018,open,-13148688.2265141,4014034.42066675
54262,Beverly Pharmacy,2105 BEVERLY BLVD STE 107,LOS ANGELES,CA,90057,open,-13165805.8246134,4037792.09684105
54268,CVS Pharmacy #16040,9725 LAUREL CANYON BLVD,Arleta,CA,913314100,open,-13182352.1310859,4061886.55373669
54269,CVS Pharmacy #16044,5700 FIRESTONE BLVD,SOUTH GATE,CA,90280,open,-13154330.7888634,4021863.56619255
54270,CVS Pharmacy #16047,2270 N BELLFLOWER BLVD,LONG BEACH,CA,90815,open,-13149632.438435,4001733.27759098
54271,CVS Pharmacy #16050,3433 SEPULVEDA BLVD,TORRANCE,CA,90505,open,-13174207.88582,4005536.04138159
54275,CVS Pharmacy #16748,141 LAKEWOOD CENTER MALL,LAKEWOOD,CA,90712,open,-13151341.4152576,4009022.11248563
54289,COSTCO PHARMACY #769,3560 W CENTURY BLVD,INGLEWOOD,CA,903031201,open,-13172920.3645894,4021461.52814947
54296,DDE PHARMACY,18491 E COLIMA RD,ROWLAND HEIGHTS,CA,91748,open,-13124748.524741,4027360.13194614
54305,ROSA II PHARMACY,8729 Valley Blvd Ste D,ROSEMEAD,CA,91770,open,-13144558.0507667,4039675.34105442
54309,MOLINAS PHARMACY,3746 WHITTIER BLVD,LOS ANGELES,CA,900231795,open,-13157128.0250281,4031999.97859442
54312,PACIFIC PHARMACY,11525 BROOKSHIRE AVE STE 100,DOWNEY,CA,90241,open,-13150408.2239663,4020161.71092219
54313,VINE DISCOUNT PHARMACY & MEDICAL SUPPLY,1253 N VINE ST STE 11,LOS ANGELES,CA,90038,open,-13172082.4627822,4041425.54708763
54315,IMPERIAL PHARMACY,15074 IMPERIAL HWY,LA MIRADA,CA,90638,open,-13136779.490028,4017658.43296157
54317,Walmart Pharmacy 10-5152,6433 Fallbrook Ave,WEST HILLS,CA,913073543,open,-13205108.7293108,4053955.16075271
54323,PAYLESS PHARMACY,1118 S GARFIELD AVE STE 101,ALHAMBRA,CA,91801,open,-13149360.26228,4039820.09483297
54324,BEVERLY HILLS MEDICAL PLAZA PHARMACY,150 N ROBERTSON BLVD,BEVERLY HILLS,CA,902112142,open,-13178379.4724179,4037954.02774326
54331,CVS Pharmacy #17004,7100 SANTA MONICA BLVD STE 201,WEST HOLLYWOOD,CA,90046,open,-13173997.6033019,4041007.49475908
54333,PALMDALE MEDICAL PHARMACY,540 W Palmdale Blvd STE A,PALMDALE,CA,93551,open,-13152062.32028,4107893.66436538
54336,DIABETES CARE PHARMACY,1339 W GARVEY AVE N,WEST COVINA,CA,91790,open,-13128429.3037041,4038695.04218421
54347,RALPHS PHARMACY,14919 WHITTIER BLVD,WHITTIER,CA,90605,open,-13136522.8986017,4022054.25740868
54351,CVS Pharmacy #16319,777 E Colorado Blvd,Pasadena,CA,91101,open,-13150678.7303289,4048536.40282529
54362,CVS Pharmacy #16058,17751 COLIMA RD,City Of Industry,CA,917481714,open,-13126643.4051133,4027669.19942201
54367,WALMART PHARMACY 10-3522,3250 Big Dalton Ave,BALDWIN PARK,CA,917065107,open,-13131621.9467,4038585.2442913
54370,RALPHS PHARMACY #213,22915 VICTORY BLVD,WEST HILLS,CA,91307,open,-13205328.8079441,4053885.04857933
54372,CVS Pharmacy #04792,15232 SHERMAN WAY,VAN NUYS,CA,91405,open,-13187508.4498994,4055815.78118308
54373,CVS Pharmacy #04790,120 E BONITA AVE,SAN DIMAS,CA,91773,open,-13114141.6696998,4043028.53703156
54374,CVS Pharmacy #03986,8400 FIRESTONE BLVD,DOWNEY,CA,90241,open,-13150335.3096999,4020550.28535826
54375,VONS PHARMACY #2155,550 E BASELINE RD,CLAREMONT,CA,917112236,open,-13102981.4454698,4045021.2969655
54379,WALGREENS #7070,4009 LINCOLN BLVD,MARINA DEL REY,CA,902925613,open,-13185517.9460846,4027446.46055042
54380,WALGREENS #7175,1344 W Redondo Beach Blvd,GARDENA,CA,902473356,open,-13169047.0029073,4014188.5049916
54385,CVS Pharmacy #05809,4775 W ROSECRANS AVE,HAWTHORNE,CA,90250,open,-13175882.5762395,4015672.72897704
54391,BURBANK COMPOUNDING PHARMACY,201 S BUENA VISTA ST STE 110,BURBANK,CA,91505,open,-13172360.2049118,4050294.1617754
54393,CVS Pharmacy #04065,858 N SUNSET AVE,LA PUENTE,CA,91744,open,-13131599.3488434,4034844.28186936
54394,CVS Pharmacy #05022,7400 RESEDA BLVD,RESEDA,CA,91335,open,-13195344.7854538,4056354.84612071
54395,WALGREENS #7482,1800 W SLAUSON AVE,LOS ANGELES,CA,900471126,open,-13170132.3679425,4027317.70630846
54401,CVS Pharmacy #05170,9952 LAS TUNAS DR,Temple City,CA,91780,open,-13141660.7383798,4043252.38746536
54402,CVS Pharmacy #05828,1001 WESTWOOD BLVD,LOS ANGELES,CA,90024,open,-13185302.0975919,4037165.49298031
54405,RALPHS PHARMACY,500 N SEPULVEDA BLVD,EL SEGUNDO,CA,90245,open,-13179734.1193014,4018388.06865206
54407,WALGREENS #6854,2222 COLORADO BLVD,LOS ANGELES,CA,900411143,open,-13159657.0925394,4047431.33446171
54408,CVS Pharmacy #05014,4909 PARAMOUNT BLVD,LAKEWOOD,CA,90712,open,-13153550.5505524,4008345.0795099
54409,CVS Pharmacy #05012,23806 MAIN ST,CARSON,CA,90745,open,-13166334.4808751,4003105.22470096
54412,WALGREENS #7832,3339 E ANAHEIM ST,LONG BEACH,CA,908044032,open,-13152729.1240299,3999685.10701863
54413,CVS Pharmacy #04789,10945 VICTORY BLVD,NORTH HOLLYWOOD,CA,91606,open,-13176863.8575508,4053993.11032469
54414,CVS Pharmacy #06755,5030 LONG BEACH BLVD,LONG BEACH,CA,90805,open,-13157251.2557044,4008350.30689289
54422,Oak Hills Medical Pharmacy,7345 Medical Center Dr Ste 100,West Hills,CA,91307,open,-13205790.0045944,4056153.88833211
54423,WARNER VICTORY PHARMACY,6325 TOPANGA CANYON BLVD STE 102,WOODLAND HILLS,CA,91367,open,-13203177.5587845,4053774.5655919
54431,PACIFIC PHARMACY,207 S SANTA ANITA ST STE G 10,SAN GABRIEL,CA,91776,open,-13147594.0672391,4042295.84419634
54432,WALGREENS #7826,13231 VICTORY BLVD,VAN NUYS,CA,914012025,open,-13182612.7300138,4053916.94216305
54435,CVS Pharmacy #03968,816 E MAIN ST,ALHAMBRA,CA,91801,open,-13148837.8399097,4042080.88510511
54439,The Medicine Cabinet #2,228 E Anaheim St,Wilmington,CA,90744,open,-13164660.7923311,3999288.80259665
54440,VALLEY PHARMACY,1324 W AVE J STE 1,LANCASTER,CA,93534,open,-13153023.2301245,4121684.5313401
54444,ALHAMBRA PROFESSIONAL PHARMACY,330 S GARFIELD AVE STE 104,ALHAMBRA,CA,91801,open,-13149487.723097,4041103.47068779
54445,AGM PHARMACY,12043 RIVERSIDE DR,VALLEY VILLAGE,CA,91607,open,-13179757.385075,4050010.44293108
54448,WALGREENS #2155,1501 W WHITTIER BLVD,MONTEBELLO,CA,906404001,open,-13148752.2352213,4030364.16079378
54449,EDEN PHARMACY,2681 W OLYMPIC BLVD STE 102,LOS ANGELES,CA,90006,open,-13168069.2838197,4035860.52608794
54455,WALMART PHARMACY 10-5162,27931 Kelly Johnson Pkwy,SANTA CLARITA,CA,913555083,open,-13199816.8233575,4088580.84442859
54461,ASAP Pharmacy,1340 E Wilson Ave,Glendale,CA,91206,open,-13161949.2721743,4048678.31021244
54462,RALPHS PHARMACY,29675 THE OLD ROAD NORTH,CASTAIC,CA,91384,open,-13204607.4576437,4090306.22247053
54463,RALPHS PHARMACY,3601 E FOOTHILL BLVD,PASADENA,CA,91107,open,-13144120.4538484,4049130.00448141
54468,MAX PHARMACY,333 S GARFIELD AVE UNIT C,ALHAMBRA,CA,91801,open,-13149580.3409133,4041126.72548143
54474,RALPHS PHARMACY,14440 BURBANK BLVD,SHERMAN OAKS,CA,91401,open,-13185546.3325547,4051905.53403437
54475,WALGREENS #7036,5451 W SUNSET BLVD,LOS ANGELES,CA,900275613,open,-13170070.9195836,4042004.93117532
54476,WALGREENS #9136,1625 W SUNSET BLVD,LOS ANGELES,CA,900264226,open,-13164423.6818157,4039183.568291
54485,CVS Pharmacy #16075,24425 MAGIC MOUNTAIN PKWY,VALENCIA,CA,91355,open,-13198214.8245655,4085489.83660772
54486,CVS Pharmacy #16048,10820 JEFFERSON BLVD,CULVER CITY,CA,90230,open,-13179553.8930458,4028682.25295679
54490,OPTIMA CARE PHARMACY,1755 W GLENOAKS BLVD STE E,GLENDALE,CA,91201,open,-13168069.3951391,4051955.45161271
54495,SUN YUAN PHARMACY,201 W GARVEY AVE STE 107,MONTEREY PARK,CA,91754,open,-13149583.0125811,4037220.72088632
54496,DEL MAR PHARMACY,9008 Garvey Ave Ste A,ROSEMEAD,CA,91770,open,-13143812.4328173,4037202.17717998
54497,ZOEY PHARMACY,18500 VIA PRINCESSA STE 4,SANTA CLARITA,CA,91387,open,-13186694.3704633,4082979.13417733
54499,AGAPI PHARMACY,6501 SAN FERNANDO RD STE K,GLENDALE,CA,91201,open,-13168001.8242082,4051319.59072594
54500,Rx Central,800 S Central Ave Ste 101A,Glendale,CA,912044375,open,-13164360.6749839,4047150.51142638
54502,SUNNY BAY PHARMACY,450 E HUNTINGTON DR,ARCADIA,CA,91006,open,-13138454.6257255,4047613.84625615
54503,COMPLETE CARE COMPOUNDING PHARMACY,315 S Diamond Bar Blvd Ste D,DIAMOND BAR,CA,91765,open,-13114502.122211,4031453.47115293
54505,WALMART PHARMACY 10-5072,19503 Normandie Ave,TORRANCE,CA,905011361,open,-13169008.597683,4009223.3133311
54508,WALGREENS #7870,600 LONG BEACH BLVD,LONG BEACH,CA,908021321,open,-13156727.8314587,3998545.9193657
54510,WALGREENS #7529,27983 SLOAN CANYON RD,CASTAIC,CA,913842594,open,-13205414.4126325,4095480.16004997
54511,SAV-ON PHARMACY #3301,23850 Copper Hill Dr,VALENCIA,CA,913541701,open,-13197644.8687726,4091065.2510461
54512,ALTAMED PHARMACY,3945 WHITTIER BLVD,LOS ANGELES,CA,90023,open,-13156597.5876544,4032040.67557644
54514,CVS Pharmacy #16049,1200 N SEPULVEDA BLVD,MANHATTAN BEACH,CA,90266,open,-13179749.8153496,4013830.45322539
54515,CVS Pharmacy #16091,20801 VENTURA BLVD,WOODLAND HILLS,CA,91364,open,-13200919.2202748,4051215.18700897
54522,CONCOURSE RX,18575 E GALE AVE STE 158,CITY OF INDUSTRY,CA,91748,open,-13124373.7120155,4028159.93844157
54524,STOCKER RX PHARMACY,3750 Santa Rosalia Dr Unit 1,LOS ANGELES,CA,90008,open,-13173421.079659,4029895.88736386
54531,WALGREENS #2622,4142 PACIFIC COAST HWY,TORRANCE,CA,905055714,open,-13175476.1487786,4002932.80127456
54532,WALGREENS #7950,15316 NORDHOFF ST,NORTH HILLS,CA,913432234,open,-13187560.6587406,4060435.07258883
54535,GRAND AVE PHARMACY,1400 S GRAND AVE STE 100,LOS ANGELES,CA,90015,open,-13165230.7481239,4033767.27480067
54537,WALGREENS #9137,14250 PRAIRIE AVE,HAWTHORNE,CA,902507908,open,-13173907.1005558,4015675.41140313
54541,EO PHARMACY,820 West San Bernardino Road,Covina,CA,91722,open,-13125184.006589,4040761.91298011
54551,CVS Pharmacy #17096,1601 KINGSDALE AVE,REDONDO BEACH,CA,90278,open,-13175321.7486448,4010835.72869808
54554,CVS Pharmacy #17112,15614 WHITTWOOD LN,WHITTIER,CA,90603,open,-13135267.771343,4021176.51375648
54555,CVS Pharmacy #17113,8999 BALBOA BLVD,NORTHRIDGE,CA,91325,open,-13191665.4536441,4060202.80437796
54556,CVS Pharmacy #17119,20700 Avalon Blvd Ste 700,CARSON,CA,90746,open,-13164623.7229406,4007748.90543238
54559,CVS Pharmacy #05945,915 E ARROW HWY,AZUSA,CA,91702,open,-13105685.6185401,4040999.29517245
54566,FREEMAN MEDICAL PHARMACY,301 N PRAIRIE AVE STE 110,INGLEWOOD,CA,90301,open,-13174033.1142194,4024199.31681963
54578,SAMS PHARMACY 10-4824,26468 CARL BOYER DRIVE,SANTA CLARITA,CA,913502995,open,-13191707.3097727,4084836.57113024
54581,HYE PHARMACY INC,1200 S CENTRAL AVE,GLENDALE,CA,91204,open,-13164357.4467186,4046539.79907418
54583,JJS PHARMACY,21010 GOLDEN SPRINGS DR,DIAMOND BAR,CA,91789,open,-13118611.2585746,4028686.54973065
