order,state,county,fips,svi_overall,weighted_svi,parking_lat,parking_lon,leg_km_from_prev,total_km,total_svi,total_weighted_svi
1,Massachusetts,Hampden County,25013,0.8177,0.8177,42.312716885031776,-72.99313047748234,0.0,0.0,0.8177,0.8177
2,Massachusetts,Berkshire County,25003,0.4235,0.4235,42.53753363019081,-72.97541298126532,25.04077929766362,25.04077929766362,1.2412,1.2412
3,Massachusetts,Franklin County,25011,0.4375,0.4375,42.4325498,-72.6332143,30.392047289366626,55.43282658703025,1.6787,1.6787
4,Massachusetts,Hampshire County,25015,0.2708,0.2708,42.39227326018721,-72.40312357114739,19.413257211402794,74.84608379843304,1.9495,1.9495
5,Massachusetts,Worcester County,25027,0.51,0.51,42.35141042397285,-71.90773775249183,40.948480362059016,115.79456416049206,2.4595000000000002,2.4595000000000002
6,Massachusetts,Bristol County,25005,0.6227,0.6227,41.954196607353694,-71.34327982366909,64.15569593570912,179.9502600962012,3.0822000000000003,3.0822000000000003
7,Massachusetts,Dukes County,25007,0.133,0.133,41.45864586983922,-70.55669158319292,85.44019914704941,265.3904592432506,3.2152000000000003,3.2152000000000003
8,Massachusetts,Nantucket County,25019,0.1031,0.1031,41.27215378323362,-70.18476860013998,37.32804733550692,302.7185065787575,3.3183000000000002,3.3183000000000002
9,Massachusetts,Barnstable County,25001,0.1279,0.1279,41.695013866378886,-70.48983931862689,53.44788104131956,356.1663876200771,3.4462,3.4462
10,Massachusetts,Plymouth County,25023,0.3064,0.3064,41.899527164605445,-70.71389754001248,29.3620245570049,385.52841217708203,3.7526,3.7526
11,Massachusetts,Norfolk County,25021,0.2959,0.2959,42.1767540129275,-70.95317726342623,36.616179664718615,422.14459184180066,4.0485,4.0485
12,Massachusetts,Suffolk County,25025,0.7849,0.7849,42.28042556776995,-71.18462228539161,22.271834260641814,444.4164261024425,4.8334,4.8334
13,Massachusetts,Middlesex County,25017,0.2854,0.2854,42.48554995797038,-71.39176613254165,28.455372454773716,472.8717985572162,5.1188,5.1188
14,Massachusetts,Essex County,25009,0.6055,0.6055,42.60628230950837,-71.17682291276854,22.14234012522134,495.01413868243753,5.7243,5.7243
