STATE,COUNTY,ZIP,Parking Lots,Parking Source
MA,Suffolk,02108,"42.356228,-71.055617; 42.351455,-71.066815; 42.350045,-71.070962; 42.360264,-71.061190; 42.362482,-71.057753; 42.358672,-71.060220; 42.353539,-71.061269; 42.358817,-71.055108; 42.359506,-71.056046; 42.362049,-71.066213; 42.365991,-71.062079; 42.364107,-71.050177; 42.360399,-71.061632; 42.355824,-71.051815; 42.349896,-71.045140; 42.349293,-71.065130; 42.355083,-71.052752; 42.357965,-71.058320; 42.362479,-71.059462; 42.349986,-71.055859; 42.349993,-71.055864; 42.361920,-71.069067; 42.360981,-71.054902; 42.360184,-71.071053; 42.362170,-71.057535; 42.356274,-71.058904; 42.367132,-71.057326; 42.358414,-71.050924; 42.348852,-71.050691; 42.351010,-71.068170; 42.368037,-71.065358; 42.364483,-71.050208; 42.361743,-71.065948; 42.360875,-71.069708; 42.349359,-71.064867; 42.345702,-71.055055; 42.352303,-71.059960; 42.351810,-71.058407; 42.364017,-71.062685; 42.361715,-71.069712; 42.362978,-71.064321; 42.361652,-71.065964; 42.364327,-71.070390; 42.361763,-71.068197; 42.352201,-71.061587; 42.364155,-71.056847; 42.349127,-71.058250; 42.349866,-71.060761; 42.348019,-71.051674; 42.348352,-71.047401; 42.347366,-71.047907; 42.347034,-71.051911; 42.348574,-71.071266; 42.349077,-71.070760; 42.349226,-71.069907; 42.347741,-71.045743; 42.347877,-71.061502; 42.364977,-71.064915; 42.364273,-71.057913; 42.362002,-71.071353; 42.362550,-71.071475; 42.348212,-71.071942; 42.361526,-71.056620; 42.361291,-71.056232; 42.364355,-71.062422; 42.363952,-71.060218; 42.363390,-71.060154; 42.364020,-71.060855; 42.351671,-71.061887; 42.350917,-71.061043; 42.352720,-71.060134; 42.353288,-71.060233; 42.358409,-71.062096; 42.358099,-71.054390; 42.356784,-71.052764; 42.350344,-71.066268; 42.364796,-71.054458; 42.364640,-71.051412; 42.365541,-71.052296; 42.365550,-71.054248; 42.365310,-71.050128; 42.365164,-71.054281; 42.367708,-71.056967; 42.354980,-71.050691; 42.367620,-71.058108; 42.348398,-71.069571; 42.352525,-71.045839; 42.351878,-71.044447; 42.354780,-71.062214; 42.366314,-71.053552; 42.351476,-71.067976; 42.350880,-71.049833; 42.352205,-71.069697; 42.352449,-71.068561; 42.351775,-71.063733; 42.348756,-71.061064; 42.351785,-71.059526; 42.363749,-71.059936; 42.363820,-71.060534; 42.364367,-71.061331; 42.364566,-71.060527; 42.364845,-71.061100; 42.364088,-71.062140; 42.364207,-71.059295; 42.363463,-71.056957",osm
MA,Suffolk,02109,"42.356228,-71.055617; 42.360264,-71.061190; 42.362482,-71.057753; 42.358672,-71.060220; 42.353539,-71.061269; 42.358817,-71.055108; 42.359506,-71.056046; 42.362049,-71.066213; 42.365991,-71.062079; 42.364107,-71.050177; 42.360399,-71.061632; 42.355824,-71.051815; 42.355083,-71.052752; 42.357965,-71.058320; 42.362479,-71.059462; 42.360981,-71.054902; 42.372911,-71.058849; 42.362170,-71.057535; 42.356274,-71.058904; 42.367132,-71.057326; 42.358414,-71.050924; 42.368037,-71.065358; 42.364483,-71.050208; 42.361743,-71.065948; 42.373432,-71.068054; 42.352303,-71.059960; 42.351810,-71.058407; 42.364017,-71.062685; 42.362978,-71.064321; 42.361652,-71.065964; 42.361763,-71.068197; 42.352201,-71.061587; 42.364155,-71.056847; 42.372483,-71.066336; 42.370862,-71.044286; 42.364977,-71.064915; 42.364273,-71.057913; 42.361526,-71.056620; 42.361291,-71.056232; 42.364355,-71.062422; 42.363952,-71.060218; 42.363390,-71.060154; 42.364020,-71.060855; 42.371610,-71.057782; 42.351671,-71.061887; 42.352720,-71.060134; 42.353288,-71.060233; 42.358409,-71.062096; 42.358099,-71.054390; 42.356784,-71.052764; 42.364796,-71.054458; 42.364640,-71.051412; 42.365541,-71.052296; 42.365550,-71.054248; 42.365310,-71.050128; 42.365164,-71.054281; 42.367708,-71.056967; 42.354980,-71.050691; 42.367620,-71.058108; 42.352525,-71.045839; 42.351878,-71.044447; 42.354780,-71.062214; 42.366314,-71.053552; 42.370832,-71.039647; 42.369965,-71.039067; 42.369680,-71.039295; 42.369575,-71.038980; 42.369609,-71.039124; 42.352449,-71.068561; 42.351775,-71.063733; 42.351785,-71.059526; 42.363749,-71.059936; 42.363820,-71.060534; 42.364367,-71.061331; 42.364566,-71.060527; 42.364845,-71.061100; 42.364088,-71.062140; 42.364207,-71.059295; 42.363463,-71.056957",osm
MA,Suffolk,02111,"42.341099,-71.067001; 42.356228,-71.055617; 42.351455,-71.066815; 42.350045,-71.070962; 42.345391,-71.075060; 42.360264,-71.061190; 42.358672,-71.060220; 42.353539,-71.061269; 42.358817,-71.055108; 42.359506,-71.056046; 42.360399,-71.061632; 42.350249,-71.074261; 42.345169,-71.070645; 42.346609,-71.075875; 42.355824,-71.051815; 42.349293,-71.065130; 42.355083,-71.052752; 42.347993,-71.075041; 42.357965,-71.058320; 42.349986,-71.055859; 42.349993,-71.055864; 42.346885,-71.066929; 42.360184,-71.071053; 42.356274,-71.058904; 42.358414,-71.050924; 42.348852,-71.050691; 42.351010,-71.068170; 42.342216,-71.065130; 42.342582,-71.066208; 42.349359,-71.064867; 42.345702,-71.055055; 42.352303,-71.059960; 42.351810,-71.058407; 42.343393,-71.048866; 42.345760,-71.067191; 42.345003,-71.067528; 42.345812,-71.061734; 42.352201,-71.061587; 42.349127,-71.058250; 42.349866,-71.060761; 42.343509,-71.052184; 42.348019,-71.051674; 42.347034,-71.051911; 42.348574,-71.071266; 42.349077,-71.070760; 42.349226,-71.069907; 42.347877,-71.061502; 42.344801,-71.061259; 42.340187,-71.069783; 42.348212,-71.071942; 42.338893,-71.050268; 42.339118,-71.049757; 42.339153,-71.050728; 42.351671,-71.061887; 42.350917,-71.061043; 42.352720,-71.060134; 42.353288,-71.060233; 42.358409,-71.062096; 42.358099,-71.054390; 42.356784,-71.052764; 42.350344,-71.066268; 42.354980,-71.050691; 42.347496,-71.074270; 42.348398,-71.069571; 42.341621,-71.058317; 42.342290,-71.063530; 42.344473,-71.064821; 42.354780,-71.062214; 42.339767,-71.067767; 42.348277,-71.074591; 42.351488,-71.073950; 42.351476,-71.067976; 42.344291,-71.077640; 42.344506,-71.075478; 42.347064,-71.069173; 42.350880,-71.049833; 42.340546,-71.050291; 42.341394,-71.051602; 42.345674,-71.068778; 42.352205,-71.069697; 42.352449,-71.068561; 42.351775,-71.063733; 42.348756,-71.061064; 42.351785,-71.059526; 42.341001,-71.077919",osm
MA,Suffolk,02114,"42.367689,-71.077299; 42.363594,-71.082798; 42.356228,-71.055617; 42.361742,-71.081849; 42.360264,-71.061190; 42.362482,-71.057753; 42.358672,-71.060220; 42.353539,-71.061269; 42.358817,-71.055108; 42.359506,-71.056046; 42.362049,-71.066213; 42.365991,-71.062079; 42.360399,-71.061632; 42.363693,-71.079672; 42.357965,-71.058320; 42.362479,-71.059462; 42.369016,-71.078114; 42.361920,-71.069067; 42.360981,-71.054902; 42.360184,-71.071053; 42.372911,-71.058849; 42.362170,-71.057535; 42.356274,-71.058904; 42.367132,-71.057326; 42.368037,-71.065358; 42.363453,-71.081973; 42.361743,-71.065948; 42.360875,-71.069708; 42.373432,-71.068054; 42.352303,-71.059960; 42.369653,-71.070324; 42.364017,-71.062685; 42.361715,-71.069712; 42.362978,-71.064321; 42.361652,-71.065964; 42.364327,-71.070390; 42.361763,-71.068197; 42.352201,-71.061587; 42.364155,-71.056847; 42.372483,-71.066336; 42.364977,-71.064915; 42.364273,-71.057913; 42.362002,-71.071353; 42.362550,-71.071475; 42.361526,-71.056620; 42.361291,-71.056232; 42.364355,-71.062422; 42.363952,-71.060218; 42.363390,-71.060154; 42.364020,-71.060855; 42.371610,-71.057782; 42.352720,-71.060134; 42.353288,-71.060233; 42.358409,-71.062096; 42.358099,-71.054390; 42.364796,-71.054458; 42.365550,-71.054248; 42.365164,-71.054281; 42.367708,-71.056967; 42.367620,-71.058108; 42.354780,-71.062214; 42.371479,-71.080000; 42.371337,-71.079931; 42.352205,-71.069697; 42.352449,-71.068561; 42.373036,-71.079083; 42.372874,-71.079535; 42.363749,-71.059936; 42.363820,-71.060534; 42.364367,-71.061331; 42.364566,-71.060527; 42.364845,-71.061100; 42.364088,-71.062140; 42.364207,-71.059295; 42.363463,-71.056957; 42.371441,-71.079081; 42.373525,-71.083045; 42.373625,-71.082927; 42.373599,-71.080654; 42.369462,-71.083233; 42.369822,-71.082900; 42.372590,-71.079010; 42.361466,-71.082719",osm
MA,Suffolk,02115,"42.343505,-71.084826; 42.337747,-71.107707; 42.338589,-71.106971; 42.345670,-71.108604; 42.338176,-71.086400; 42.334909,-71.100814; 42.337951,-71.104442; 42.336413,-71.109066; 42.340389,-71.085720; 42.347084,-71.085677; 42.340091,-71.108285; 42.339541,-71.109030; 42.346918,-71.102035; 42.336770,-71.091733; 42.335836,-71.085528; 42.336972,-71.109863; 42.334589,-71.102982; 42.334509,-71.101461; 42.336297,-71.088427; 42.346919,-71.100011; 42.348046,-71.097295; 42.343549,-71.099256; 42.336429,-71.094313; 42.333264,-71.094315; 42.330068,-71.085333; 42.330474,-71.084938; 42.328374,-71.084582; 42.345683,-71.096178; 42.345046,-71.098610; 42.347275,-71.099469; 42.330555,-71.089598; 42.348237,-71.097047; 42.342825,-71.101659; 42.341720,-71.110103; 42.346558,-71.088306; 42.348786,-71.109669; 42.333055,-71.104413; 42.331201,-71.109909; 42.330592,-71.110056; 42.330825,-71.110420; 42.330990,-71.099856; 42.331214,-71.100420; 42.332337,-71.101178; 42.329518,-71.086918; 42.330037,-71.098847; 42.330425,-71.098586; 42.332442,-71.097479; 42.333074,-71.093926; 42.332130,-71.106151; 42.332154,-71.105495; 42.338789,-71.095420; 42.327627,-71.087986; 42.335491,-71.093298; 42.333327,-71.105374; 42.346898,-71.113599; 42.347312,-71.100439; 42.345817,-71.110789; 42.345767,-71.111011; 42.335427,-71.111957; 42.341562,-71.099801",osm
MA,Suffolk,02116,"42.363594,-71.082798; 42.351455,-71.066815; 42.347346,-71.078745; 42.350045,-71.070962; 42.345391,-71.075060; 42.361742,-71.081849; 42.349906,-71.080037; 42.343505,-71.084826; 42.348368,-71.079343; 42.362049,-71.066213; 42.348278,-71.082072; 42.350249,-71.074261; 42.345169,-71.070645; 42.346609,-71.075875; 42.363693,-71.079672; 42.349293,-71.065130; 42.347993,-71.075041; 42.360940,-71.085914; 42.346885,-71.066929; 42.361920,-71.069067; 42.360184,-71.071053; 42.347084,-71.085677; 42.351010,-71.068170; 42.363598,-71.088652; 42.363453,-71.081973; 42.361743,-71.065948; 42.360875,-71.069708; 42.349359,-71.064867; 42.360607,-71.084877; 42.364017,-71.062685; 42.361715,-71.069712; 42.362978,-71.064321; 42.361652,-71.065964; 42.364327,-71.070390; 42.345760,-71.067191; 42.345003,-71.067528; 42.361763,-71.068197; 42.348574,-71.071266; 42.349077,-71.070760; 42.349226,-71.069907; 42.364977,-71.064915; 42.362002,-71.071353; 42.362550,-71.071475; 42.348212,-71.071942; 42.364355,-71.062422; 42.351671,-71.061887; 42.358409,-71.062096; 42.350344,-71.066268; 42.351907,-71.087014; 42.348338,-71.079602; 42.347496,-71.074270; 42.348398,-71.069571; 42.344473,-71.064821; 42.346394,-71.081862; 42.354780,-71.062214; 42.347807,-71.080192; 42.348277,-71.074591; 42.351488,-71.073950; 42.352939,-71.083446; 42.346558,-71.088306; 42.351476,-71.067976; 42.359644,-71.086666; 42.344291,-71.077640; 42.344506,-71.075478; 42.347064,-71.069173; 42.345674,-71.068778; 42.352205,-71.069697; 42.352449,-71.068561; 42.351775,-71.063733; 42.364088,-71.062140; 42.350366,-71.086185; 42.361466,-71.082719; 42.361470,-71.085784; 42.361621,-71.090549",osm
MA,Suffolk,02118,"42.341099,-71.067001; 42.343505,-71.084826; 42.338463,-71.070491; 42.334887,-71.070697; 42.339723,-71.081737; 42.325268,-71.062804; 42.331782,-71.065081; 42.342216,-71.065130; 42.342582,-71.066208; 42.336051,-71.066612; 42.345702,-71.055055; 42.335836,-71.085528; 42.337147,-71.083306; 42.345003,-71.067528; 42.326509,-71.076245; 42.337868,-71.070815; 42.335209,-71.073889; 42.329176,-71.083140; 42.331311,-71.083808; 42.330892,-71.082190; 42.325495,-71.083869; 42.332083,-71.074235; 42.331164,-71.074105; 42.330617,-71.073056; 42.331563,-71.072397; 42.335891,-71.071217; 42.333321,-71.076465; 42.333348,-71.072159; 42.344801,-71.061259; 42.330474,-71.084938; 42.328374,-71.084582; 42.340187,-71.069783; 42.326977,-71.066282; 42.340827,-71.079105; 42.338044,-71.063187; 42.341621,-71.058317; 42.342290,-71.063530; 42.344473,-71.064821; 42.337152,-71.077264; 42.339767,-71.067767; 42.332826,-71.081573; 42.333021,-71.081870; 42.332572,-71.082017; 42.332262,-71.083172; 42.329545,-71.066555; 42.332510,-71.057690; 42.333160,-71.056792; 42.333001,-71.056510; 42.332178,-71.072066; 42.324701,-71.064545; 42.322587,-71.062562; 42.323162,-71.061678; 42.323331,-71.062175; 42.334649,-71.082995; 42.335095,-71.083456; 42.336068,-71.081768; 42.328233,-71.076169; 42.331343,-71.075736; 42.331145,-71.077838; 42.325054,-71.068319; 42.325007,-71.068872; 42.328034,-71.079843; 42.328206,-71.080158; 42.328086,-71.082068; 42.328273,-71.077639; 42.330204,-71.080502; 42.330422,-71.081142; 42.327786,-71.082177; 42.327360,-71.081613; 42.336476,-71.083029; 42.344291,-71.077640; 42.340382,-71.079628; 42.344506,-71.075478; 42.333827,-71.075620; 42.333418,-71.066050; 42.327842,-71.077029; 42.326771,-71.059559; 42.324651,-71.063017; 42.325331,-71.057267; 42.341001,-71.077919",osm
MA,Suffolk,02119,"42.338463,-71.070491; 42.338176,-71.086400; 42.340389,-71.085720; 42.334887,-71.070697; 42.339723,-71.081737; 42.336770,-71.091733; 42.335836,-71.085528; 42.337147,-71.083306; 42.336297,-71.088427; 42.326509,-71.076245; 42.321187,-71.086633; 42.321283,-71.086749; 42.337868,-71.070815; 42.335209,-71.073889; 42.329176,-71.083140; 42.331311,-71.083808; 42.330892,-71.082190; 42.325495,-71.083869; 42.336429,-71.094313; 42.333264,-71.094315; 42.332083,-71.074235; 42.331164,-71.074105; 42.330617,-71.073056; 42.331563,-71.072397; 42.335891,-71.071217; 42.333321,-71.076465; 42.333348,-71.072159; 42.330068,-71.085333; 42.330474,-71.084938; 42.328374,-71.084582; 42.340187,-71.069783; 42.325550,-71.097615; 42.340827,-71.079105; 42.330555,-71.089598; 42.322776,-71.089515; 42.337152,-71.077264; 42.332826,-71.081573; 42.333021,-71.081870; 42.332572,-71.082017; 42.332262,-71.083172; 42.332178,-71.072066; 42.334649,-71.082995; 42.335095,-71.083456; 42.336068,-71.081768; 42.322099,-71.084483; 42.321649,-71.082586; 42.328233,-71.076169; 42.331343,-71.075736; 42.331145,-71.077838; 42.325007,-71.068872; 42.329518,-71.086918; 42.324588,-71.088240; 42.326983,-71.088043; 42.328034,-71.079843; 42.328206,-71.080158; 42.328086,-71.082068; 42.328273,-71.077639; 42.330204,-71.080502; 42.330422,-71.081142; 42.327786,-71.082177; 42.327360,-71.081613; 42.332442,-71.097479; 42.333074,-71.093926; 42.336476,-71.083029; 42.340382,-71.079628; 42.333827,-71.075620; 42.327842,-71.077029; 42.338789,-71.095420; 42.327627,-71.087986; 42.335491,-71.093298; 42.341001,-71.077919",osm
MA,Suffolk,02120,"42.337747,-71.107707; 42.338589,-71.106971; 42.334909,-71.100814; 42.337951,-71.104442; 42.336413,-71.109066; 42.340091,-71.108285; 42.325840,-71.110604; 42.339541,-71.109030; 42.322690,-71.108817; 42.336972,-71.109863; 42.334589,-71.102982; 42.334509,-71.101461; 42.321991,-71.111148; 42.322798,-71.110218; 42.325528,-71.110932; 42.336429,-71.094313; 42.333264,-71.094315; 42.325550,-71.097615; 42.332785,-71.115272; 42.323231,-71.119075; 42.332772,-71.116865; 42.333055,-71.104413; 42.331201,-71.109909; 42.330592,-71.110056; 42.330825,-71.110420; 42.320275,-71.116269; 42.321954,-71.115937; 42.321809,-71.115701; 42.321135,-71.112285; 42.323545,-71.110906; 42.322337,-71.111033; 42.322379,-71.111745; 42.320216,-71.111475; 42.323186,-71.107251; 42.330990,-71.099856; 42.331214,-71.100420; 42.332337,-71.101178; 42.330037,-71.098847; 42.330425,-71.098586; 42.332442,-71.097479; 42.333074,-71.093926; 42.325863,-71.108872; 42.332130,-71.106151; 42.332154,-71.105495; 42.336848,-71.120844; 42.319826,-71.101396; 42.320235,-71.100569; 42.319909,-71.099990; 42.320119,-71.097115; 42.320875,-71.097876; 42.320881,-71.097322; 42.319074,-71.092754; 42.318461,-71.093064; 42.332167,-71.116798; 42.333068,-71.117280; 42.333548,-71.118176; 42.338789,-71.095420; 42.321122,-71.098505; 42.320487,-71.098487; 42.321126,-71.098282; 42.335491,-71.093298; 42.333327,-71.105374; 42.322222,-71.107253; 42.334075,-71.118393; 42.333626,-71.117604; 42.333853,-71.116475; 42.332829,-71.120181; 42.333544,-71.119435; 42.332364,-71.119055; 42.330820,-71.117069; 42.329939,-71.116798; 42.331034,-71.115747; 42.331776,-71.118306; 42.335427,-71.111957",osm
MA,Suffolk,02121,"42.291950,-71.079524; 42.302435,-71.086393; 42.295357,-71.071293; 42.300128,-71.070383; 42.299652,-71.069476; 42.306649,-71.081319; 42.306230,-71.074584; 42.303311,-71.078078; 42.291928,-71.079626; 42.291583,-71.079048; 42.291325,-71.077784; 42.293374,-71.076220; 42.290550,-71.082847; 42.296277,-71.078578; 42.298689,-71.061849; 42.296254,-71.072643; 42.295564,-71.073178; 42.301711,-71.076155; 42.306038,-71.080383; 42.304784,-71.075060; 42.305918,-71.075374; 42.295378,-71.071208; 42.294643,-71.072366; 42.293722,-71.074474; 42.297234,-71.080119; 42.303478,-71.060435",osm
