ZIP Code,State,County,Hospitals,Nursing Homes,Public Health Departments,Pharmacies,Representative Lat,Representative Lon
00603,PR,AGUADILLA,2,0,0,0,18.44280934,-67.15088511
00613,PR,ARECIBO,1,0,0,0,18.46704554,-66.7311406
00614,PR,ARECIBO,1,0,0,0,18.47328848,-66.71691497
00623,PR,CABO ROJO,1,0,0,0,18.0857323,-67.14732753
00631,PR,LARES,1,0,0,0,18.18101307,-66.83318175
00641,PR,UTUADO,1,0,0,0,18.26776881,-66.70133505
00646,PR,DORADO,1,0,0,0,18.4558957,-66.2902697
00660,PR,HORMIGUEROS,0,1,0,0,18.142685473,-67.120362857
00674,PR,MANATÍ,3,0,0,0,18.434046480000003,-66.47704843999999
00676,PR,MOCA,1,0,0,0,18.39019435,-67.10996904
00680,PR,MAYAGÜEZ,3,0,0,0,18.204035473333334,-67.13738471333333
00681,PR,MAYAGÜEZ,3,0,0,0,18.261436933333332,-66.80768238666667
00682,PR,MAYAGÜEZ,1,0,0,0,18.18063724,-67.15284971
00683,PR,SAN GERMÁN,2,0,0,0,18.090721085,-67.03910683000001
00693,PR,VEGA BAJA,1,1,0,0,18.445917702499997,-66.388003372
00698,PR,YAUCO,1,0,0,0,18.031208034,-66.857717025
00705,PR,AIBONITO,2,0,0,0,18.22352454,-65.782035865
00714,PR,ARROYO,1,0,0,0,17.97596128,-66.05836758
00717,PR,PONCE,1,1,0,0,17.99711858400005,-66.61787180699994
00725,PR,CAGUAS,2,0,0,0,18.21932776,-66.04091804000001
00731,PR,PONCE,1,0,0,0,18.03439368,-66.59454152
00733,PR,PONCE,3,0,0,0,18.022711746666666,-66.59951247333333
00737,PR,CAYEY,1,0,0,0,18.12431488,-66.14669714
00738,PR,FAJARDO,2,0,0,0,18.334366675,-65.65237282999999
00739,PR,CIDRA,1,0,0,0,18.17603896,-66.16140123
00765,PR,VIEQUES,1,0,0,0,18.14212852,-65.43963461
00780,PR,PONCE,1,0,0,0,18.03967485,-66.54740673
00785,PR,GUAYAMA,2,0,0,0,17.97716113,-66.110310235
00791,PR,HUMACAO,2,0,0,0,18.153351675,-65.83089149
00792,PR,HUMACAO,1,1,0,0,18.154382815000048,-65.83468690999996
00801,VI,ST. THOMAS,1,0,0,0,18.340605,-64.914717
00820,VI,ST. CROIX,1,0,1,0,17.73922575478818,-64.73280607992817
00907,PR,SAN JUAN,1,0,0,0,18.45599329,-66.06546953
00909,PR,SAN JUAN,1,0,0,0,18.44601952,-66.07371565
00910,PR,SAN JUAN,1,0,0,0,18.44465487,-66.06956059
00912,PR,SAN JUAN,1,0,0,0,18.4471351,-66.06293602
00915,PR,SAN JUAN,1,0,0,0,18.38990335,-66.09826151
00918,PR,SAN JUAN,1,0,0,0,18.40986267,-66.05109596
