ZIP Code,County,Hospitals,Nursing Homes,Public Health Departments,Pharmacies
00603,AGUADILLA,2,0,0,0
00613,ARECIBO,1,0,0,0
00614,ARECIBO,1,0,0,0
00623,CABO ROJO,1,0,0,0
00631,LARES,1,0,0,0
00641,UTUADO,1,0,0,0
00646,DORADO,1,0,0,0
00660,HORMIGUEROS,0,1,0,0
00674,MANATÍ,3,0,0,0
00676,MOCA,1,0,0,0
00680,MAYAGÜEZ,3,0,0,0
00681,MAYAGÜEZ,3,0,0,0
00682,MAYAGÜEZ,1,0,0,0
00683,SAN GERMÁN,2,0,0,0
00693,VEGA BAJA,1,1,0,0
00698,YAUCO,1,0,0,0
00705,AIBONITO,2,0,0,0
00714,ARROYO,1,0,0,0
00717,PONCE,1,1,0,0
00725,CAGUAS,2,0,0,0
00731,PONCE,1,0,0,0
00733,PONCE,3,0,0,0
00737,CAYEY,1,0,0,0
00738,FAJARDO,2,0,0,0
00739,CIDRA,1,0,0,0
00765,VIEQUES,1,0,0,0
00780,PONCE,1,0,0,0
00785,GUAYAMA,2,0,0,0
00791,HUMACAO,2,0,0,0
00792,HUMACAO,1,1,0,0
00801,ST. THOMAS,1,0,0,0
00820,ST. CROIX,1,0,1,0
00907,SAN JUAN,1,0,0,0
00909,SAN JUAN,1,0,0,0
00910,SAN JUAN,1,0,0,0
00912,SAN JUAN,1,0,0,0
00915,SAN JUAN,1,0,0,0
00918,SAN JUAN,1,0,0,0
00919,SAN JUAN,2,0,0,0
00921,SAN JUAN,1,0,0,0
00922,SAN JUAN,1,0,0,0
00923,SAN JUAN,1,0,0,0
00926,SAN JUAN,0,1,0,0
00927,SAN JUAN,2,0,0,0
00928,SAN JUAN,3,1,0,0
00935,SAN JUAN,4,0,1,0
00936,SAN JUAN,5,0,0,0
00956,BAYAMÓN,3,0,0,0
00959,BAYAMÓN,1,0,0,0
00960,BAYAMÓN,3,0,0,0
00961,BAYAMÓN,1,0,0,0
00969,GUAYNABO,1,0,0,0
00979,CAROLINA,1,0,0,0
00984,CAROLINA,1,0,0,0
01001,HAMPDEN,0,7,1,0
01002,HAMPSHIRE,0,2,1,0
01005,WORCESTER,0,0,1,0
01007,HAMPSHIRE,0,1,0,0
01008,HAMPDEN,0,0,1,0
01010,HAMPDEN,0,0,1,0
01011,HAMPDEN,0,0,1,0
01012,HAMPSHIRE,0,0,1,0
01013,HAMPDEN,0,3,0,0
01020,HAMPDEN,0,2,1,0
01026,HAMPSHIRE,0,0,1,0
01027,HAMPSHIRE,0,0,2,0
01028,HAMPDEN,0,6,1,0
01031,WORCESTER,0,0,1,0
01033,HAMPSHIRE,0,0,1,0
01034,HAMPDEN,0,0,2,0
01035,HAMPSHIRE,0,1,1,0
01036,HAMPDEN,0,1,1,0
01038,HAMPSHIRE,0,0,1,0
01039,HAMPSHIRE,0,0,1,0
01040,HAMPDEN,3,9,1,0
01050,HAMPSHIRE,0,0,1,0
01053,HAMPSHIRE,1,3,0,0
01056,HAMPDEN,1,1,1,0
01057,HAMPDEN,0,0,1,0
01060,HAMPSHIRE,1,4,2,0
01062,HAMPSHIRE,1,0,0,0
01068,WORCESTER,0,0,1,0
01069,HAMPDEN,1,0,1,0
01070,HAMPSHIRE,0,0,1,0
01071,HAMPDEN,0,0,1,0
01072,FRANKLIN,0,0,1,0
01073,HAMPSHIRE,0,0,1,0
01075,HAMPSHIRE,0,2,1,0
01077,HAMPDEN,0,1,1,0
01081,HAMPDEN,0,0,1,0
01082,HAMPSHIRE,1,1,1,0
01083,WORCESTER,0,0,1,0
01085,HAMPDEN,1,5,2,0
01086,HAMPDEN,1,0,0,0
01089,HAMPDEN,0,2,1,0
01095,HAMPDEN,0,3,1,0
01098,HAMPSHIRE,0,0,1,0
01102,HAMPDEN,1,0,0,0
01103,HAMPDEN,0,0,1,0
01104,HAMPDEN,1,1,0,0
01105,HAMPDEN,0,1,0,0
01106,HAMPDEN,0,3,1,0
01109,HAMPDEN,2,2,0,0
01118,HAMPDEN,0,1,0,0
01119,HAMPDEN,0,1,0,0
01199,HAMPDEN,1,0,0,0
01201,BERKSHIRE,2,9,1,0
01220,BERKSHIRE,0,0,1,0
01223,BERKSHIRE,0,0,2,0
01225,BERKSHIRE,0,0,1,0
01226,BERKSHIRE,0,2,1,0
01230,BERKSHIRE,1,2,3,0
01235,BERKSHIRE,0,0,2,0
01237,BERKSHIRE,0,1,3,0
01238,BERKSHIRE,0,2,1,0
01240,BERKSHIRE,0,3,0,0
01243,HAMPSHIRE,0,0,1,0
01244,BERKSHIRE,0,0,1,0
01245,BERKSHIRE,0,0,1,0
01247,BERKSHIRE,1,1,2,0
01253,BERKSHIRE,0,0,1,0
01254,BERKSHIRE,0,0,1,0
01255,BERKSHIRE,0,1,1,0
01256,BERKSHIRE,0,0,1,0
01257,BERKSHIRE,0,0,1,0
01258,BERKSHIRE,0,0,1,0
01264,BERKSHIRE,0,0,1,0
01266,BERKSHIRE,0,0,1,0
01267,BERKSHIRE,0,1,1,0
01270,BERKSHIRE,0,0,1,0
01301,FRANKLIN,1,3,1,0
01331,WORCESTER,1,1,2,0
01337,FRANKLIN,0,0,2,0
01339,FRANKLIN,0,0,2,0
01340,FRANKLIN,0,0,1,0
01341,FRANKLIN,0,0,1,0
01343,BERKSHIRE,0,0,1,0
01346,FRANKLIN,0,0,1,0
01350,FRANKLIN,0,0,1,0
01354,FRANKLIN,0,0,1,0
01355,FRANKLIN,0,0,1,0
01364,FRANKLIN,0,0,1,0
01366,WORCESTER,0,0,1,0
01367,FRANKLIN,0,0,1,0
01368,WORCESTER,0,0,1,0
01370,FRANKLIN,0,0,2,0
01373,FRANKLIN,0,0,1,0
01375,FRANKLIN,0,0,1,0
01376,FRANKLIN,0,1,1,0
01378,FRANKLIN,0,0,1,0
01379,FRANKLIN,0,0,1,0
01420,WORCESTER,1,3,1,0
01430,WORCESTER,0,0,1,0
01431,MIDDLESEX,0,0,1,0
01432,MIDDLESEX,1,2,2,0
01434,WORCESTER,1,0,0,0
01436,WORCESTER,0,1,1,0
01440,WORCESTER,1,3,1,0
01450,MIDDLESEX,0,2,1,0
01451,WORCESTER,0,0,1,0
01452,WORCESTER,0,0,1,0
01453,WORCESTER,1,5,1,0
01460,MIDDLESEX,0,1,1,0
01462,WORCESTER,0,0,1,0
01463,MIDDLESEX,0,0,1,0
01464,MIDDLESEX,0,0,1,0
01469,MIDDLESEX,0,0,1,0
01473,WORCESTER,0,0,1,0
01475,WORCESTER,0,1,1,0
01501,WORCESTER,0,3,1,0
01503,WORCESTER,0,0,1,0
01504,WORCESTER,0,2,1,0
01505,WORCESTER,0,0,1,0
01506,WORCESTER,0,0,1,0
01507,WORCESTER,0,1,1,0
01510,WORCESTER,1,1,1,0
01515,WORCESTER,0,0,1,0
01516,WORCESTER,0,0,1,0
01519,WORCESTER,0,0,1,0
01520,WORCESTER,0,1,1,0
01521,HAMPDEN,0,0,1,0
01523,WORCESTER,0,2,1,0
01524,WORCESTER,0,0,1,0
01527,WORCESTER,0,0,1,0
01529,WORCESTER,0,0,1,0
01531,WORCESTER,0,0,1,0
01532,WORCESTER,0,4,1,0
01534,WORCESTER,0,2,0,0
01535,WORCESTER,0,0,1,0
01540,WORCESTER,0,0,1,0
01541,WORCESTER,0,0,1,0
01542,WORCESTER,1,1,0,0
01543,WORCESTER,0,0,1,0
01545,WORCESTER,0,4,1,0
01550,WORCESTER,1,1,1,0
01562,WORCESTER,0,0,1,0
01564,WORCESTER,0,1,1,0
01566,WORCESTER,0,0,1,0
01568,WORCESTER,0,0,1,0
01569,WORCESTER,0,1,1,0
01570,WORCESTER,0,4,1,0
01571,WORCESTER,0,0,1,0
01581,WORCESTER,2,4,1,0
01583,WORCESTER,0,1,2,0
01585,WORCESTER,0,0,1,0
01588,WORCESTER,0,1,1,0
01590,WORCESTER,0,0,1,0
01602,WORCESTER,1,2,0,0
01603,WORCESTER,0,1,0,0
01604,WORCESTER,1,4,0,0
01605,WORCESTER,2,6,0,0
01606,WORCESTER,1,7,0,0
01608,WORCESTER,1,0,0,0
01609,WORCESTER,0,3,0,0
01610,WORCESTER,0,1,1,0
01612,WORCESTER,0,0,1,0
01655,WORCESTER,1,0,0,0
01701,MIDDLESEX,1,5,0,0
01702,MIDDLESEX,0,4,1,0
01719,MIDDLESEX,0,0,1,0
01720,MIDDLESEX,0,2,1,0
01721,MIDDLESEX,0,1,1,0
01730,MIDDLESEX,2,1,1,0
01731,MIDDLESEX,1,0,0,0
01740,WORCESTER,0,1,1,0
01741,MIDDLESEX,0,0,1,0
01742,MIDDLESEX,1,4,1,0
01746,MIDDLESEX,0,1,1,0
01747,WORCESTER,0,1,1,0
01748,MIDDLESEX,0,1,1,0
01749,MIDDLESEX,0,1,1,0
01752,MIDDLESEX,1,8,1,0
01754,MIDDLESEX,0,0,1,0
01756,WORCESTER,0,0,1,0
01757,WORCESTER,1,6,1,0
01760,MIDDLESEX,1,5,1,0
01770,MIDDLESEX,0,0,1,0
01772,WORCESTER,0,0,1,0
01773,MIDDLESEX,0,1,1,0
01775,MIDDLESEX,0,0,1,0
01776,MIDDLESEX,0,3,1,0
01778,MIDDLESEX,0,3,1,0
01801,MIDDLESEX,1,6,1,0
01803,MIDDLESEX,0,3,1,0
01806,MIDDLESEX,1,0,0,0
01810,ESSEX,0,5,1,0
01821,MIDDLESEX,0,2,1,0
01824,MIDDLESEX,0,5,1,0
01826,MIDDLESEX,0,2,1,0
